# name|scalar_be_hex|expected_infinity|expected_x_c0_le|expected_x_c1_le|expected_y_c0_le|expected_y_c1_le
zero|0000000000000000000000000000000000000000000000000000000000000000|1||||
one|0000000000000000000000000000000000000000000000000000000000000001|0|edf692d95cbdde46ddda5ef7d422436779445c5e66006a42761e1f12efde0018|c212f3aeb785e49712e7a9353349aaf1255dfb31b7bf60723a480d9293938e19|aa7dfa6601cce64c7bd3430c69e7d1e38f40cb8d8071ab4aeb6d8cdba55ec812|5b9722d1dcdaac55f38eb37033314bbc95330c69ad999eec75f05f58d0890609
two|0000000000000000000000000000000000000000000000000000000000000002|0|b9b3b4620913f849ee2aa6a9cfd35c9d146f3e7c27596cc3e8d311fd3472dc27|79ad28398ced57998435d8c63164b86d7033733ab82101b6379bf1b45d203e20|2e5d2b12ad6d2a6e46c0b1e64f9ba5440983c4422737bca0925f7e97b853bb04|52e19d50f085e198d448df4e6b5605359d573139158c2b72637482b7a58a5e19
small_42|000000000000000000000000000000000000000000000000000000000000002a|0|e7e6af991b936dd662caae0472ba13801c5f3aa3ad44863d0f090d9ac8a86d11|919a5606733a9e0630a5e2d0b1670de93ce8cc6fb0496a7bb71596ba34097412|72c1c48de52409d357618aac72fcbe14cf59f05162b5449630b6772e04416407|db41a40b7cd0c6a84e832bd28bc179c9c5ac040dd0ed7d4a6bf8e516982d2225
medium|000000000000000000000000000000000000000000000000deadbeef12345678|0|31ace44ca364f4992a358bf050ef2935900504384d82397d07aaf9960a3ed21a|b7f71a7b71fe0a729c3f9863629d8bf99f6775751ff9df0afc528c67329c5914|1c9bbc4304eb9e58e811f06cc35b685aa12401d2d3d9bbe53f15f9a46767221a|9b8382f13ee704be4e8300c680a43117c9c983de0d3b4f53a067aeb8d1db6004
random_0|1d147721e8f60b45009109e680d0d5d5c723fb9c79adc76dc6ae5c216db95521|0|5e78318d6717b7f4b66d2c97f7c807c88f067e8c67fa642f263009300e1aae26|f6fa67c4b85d3823bcdce86c8a2d194005b77ac86650a0d0f9143976b29b8810|6e3edc2f9f72487d93da71ad933adf14bec4b14a6962338252e3e493367e5816|936799acf6f44c8ac55362fded926350631b35e7fba3f6d658c164fe91f0ae0d
random_1|279a1640c54a35fed39e6e9822a1671aae14ec8fab53a6cfdaa6e976e9267e40|0|4f6634066ead5df8b4a46df75cf7f07ebcfafa527e9b839c5b9b71b89e467e1c|9fa14c082d3f66eb5c0e88c64384bb1b539e546cb1c7459ae59dbde311e75927|b2cbabb4e6d821697a3f4e939a69257f56555b307e92df58bf4671e314d86c0f|b8a1be24743d8f4bfbb62fb819803d34bde7124c960c84f5bb82cad2d277c407
random_2|0c67fab0b8d427e7ac2d47859d8dfeea956f41f2f622ea509e39f1898d909c2d|0|513385bdb5bf7a18edb5c75fdcef9593411e6be2cd9cf23272654c67d5619d05|44b6f63a004e19ffa6c1bcc6fe5c97f6dfdc3c54363c30b7ba582dc5af95be13|f390c407e0df6b126f4ad88b5f8d4b43a1a47680c10ea835225abd6d36b2b81d|8e60be5dd67d44f855baf025cec3be2400f6df4ac8731e697c80e6e0d7c48c07
random_3|1efba8eabb15580c6e0e440965a9870477f607ab8918f217fe75b7980e70129e|0|ed093a5ec5886814ebba6b0aaba6ed0707ae131a915805c3f4a0a4356d576f14|aef9cc82ea969633edff5d9e59402433fdfe2357a5890eb4029c5572be548a1f|a6fd432d30706442cb051a6ca54cb1e87c934f157efcc1cc5aff9504a7428215|683e1607d445f2848d7e2d76cffe7f068951a15f7da8c521d090b40915b0f11a
random_4|0eb059d41da72313c6dbd2bf01b3a68ffe93ea4ab1fb93352e3c055c8643b33f|0|5ed8b04e9162b649680ee47e4fc4e6e6758280aee506cac28d1cfaf0d756b118|a8ea4edac5195c030bc6a375c875c9ee56fc138fd313afa1ff0bcace8167061e|152b2d972bc295e1bf4cf9ca3313cb4a3c9347122d18d496aaf4ff94b2e4f209|a30377151a6c04eb3210969c13cb59a73de226a6f1168799c31d609db81f5424
