# op|a_be_hex|b_be_hex|expected_be_hex
add|0000000000000000000000000000000000000000000000000000000000000000|0000000000000000000000000000000000000000000000000000000000000001|0000000000000000000000000000000000000000000000000000000000000001
sub|0000000000000000000000000000000000000000000000000000000000000000|0000000000000000000000000000000000000000000000000000000000000001|30644e72e131a029b85045b68181585d97816a916871ca8d3c208c16d87cfd46
mul|0000000000000000000000000000000000000000000000000000000000000000|0000000000000000000000000000000000000000000000000000000000000001|0000000000000000000000000000000000000000000000000000000000000000
add|0000000000000000000000000000000000000000000000000000000000000001|0000000000000000000000000000000000000000000000000000000000000002|0000000000000000000000000000000000000000000000000000000000000003
sub|0000000000000000000000000000000000000000000000000000000000000001|0000000000000000000000000000000000000000000000000000000000000002|30644e72e131a029b85045b68181585d97816a916871ca8d3c208c16d87cfd46
mul|0000000000000000000000000000000000000000000000000000000000000001|0000000000000000000000000000000000000000000000000000000000000002|0000000000000000000000000000000000000000000000000000000000000002
inv|0000000000000000000000000000000000000000000000000000000000000001|-|0000000000000000000000000000000000000000000000000000000000000001
add|000000000000000000000000000000000000000000000000000000000000000b|0000000000000000000000000000000000000000000000000000000000000013|000000000000000000000000000000000000000000000000000000000000001e
sub|000000000000000000000000000000000000000000000000000000000000000b|0000000000000000000000000000000000000000000000000000000000000013|30644e72e131a029b85045b68181585d97816a916871ca8d3c208c16d87cfd3f
mul|000000000000000000000000000000000000000000000000000000000000000b|0000000000000000000000000000000000000000000000000000000000000013|00000000000000000000000000000000000000000000000000000000000000d1
inv|000000000000000000000000000000000000000000000000000000000000000b|-|046635ad5a4a5460e235d7cac5f47c659968db247ddbcc9879d469d3880b5cd8
add|12fe805952a503cfd816f9923470dcf4f2653df23f049aca320ce02568fa622c|288e838b7b41234f3924b1fb6af18096d21d97c51461beb98e2376232c82cb68|0b28b571ecb486f558eb65d71de1052e2d016b25eaf48ef6840fca31bd00304d
sub|12fe805952a503cfd816f9923470dcf4f2653df23f049aca320ce02568fa622c|288e838b7b41234f3924b1fb6af18096d21d97c51461beb98e2376232c82cb68|1ad44b40b89580aa57428d4d4b00b4bbb7c910be9314a69de009f61914f4940b
mul|12fe805952a503cfd816f9923470dcf4f2653df23f049aca320ce02568fa622c|288e838b7b41234f3924b1fb6af18096d21d97c51461beb98e2376232c82cb68|186bf1ee65b24e10efd29c61d606f998d671bcb4cec372bac23a0e6083c681eb
inv|12fe805952a503cfd816f9923470dcf4f2653df23f049aca320ce02568fa622c|-|1ff3460cf855dd9a5efdf646f539dd7ecf6b7651506ef6b0875a4eb35e8113f0
add|147cdfbf8d9f93b0269c74d5ccc7b56cfdc2ebf4a8e1fa8065c474d9f8145afa|1419ff54e0f069c55d3c597d8b35b4244e6414dc4a1567076f77a3779ff34e0c|2896df146e8ffd7583d8ce5357fd69914c2700d0f2f76187d53c18519807a906
sub|147cdfbf8d9f93b0269c74d5ccc7b56cfdc2ebf4a8e1fa8065c474d9f8145afa|1419ff54e0f069c55d3c597d8b35b4244e6414dc4a1567076f77a3779ff34e0c|0062e06aacaf29eac9601b5841920148af5ed7185ecc9378f64cd16258210cee
mul|147cdfbf8d9f93b0269c74d5ccc7b56cfdc2ebf4a8e1fa8065c474d9f8145afa|1419ff54e0f069c55d3c597d8b35b4244e6414dc4a1567076f77a3779ff34e0c|2da0292c59255736e32c7430c2d7a29e1fbf542e0c757d14c504390cac380f73
inv|147cdfbf8d9f93b0269c74d5ccc7b56cfdc2ebf4a8e1fa8065c474d9f8145afa|-|169efe495cdcfd7bf35c93b0dbfd510a318921667d99b992bf1fd262e164bfdd
add|14a603890accf93aa6f49621588982d727e22d4f297b1a375124c62114a49fd3|10d8d18e8328f5aceb438810201b4946ae04dccb20f834d6e8947ccd071a8a7e|257ed5178df5eee792381e3178a4cc1dd5e70a1a4a734f0e39b942ee1bbf2a51
sub|14a603890accf93aa6f49621588982d727e22d4f297b1a375124c62114a49fd3|10d8d18e8328f5aceb438810201b4946ae04dccb20f834d6e8947ccd071a8a7e|03cd31fa87a4038dbbb10e11386e399079dd50840882e560689049540d8a1555
mul|14a603890accf93aa6f49621588982d727e22d4f297b1a375124c62114a49fd3|10d8d18e8328f5aceb438810201b4946ae04dccb20f834d6e8947ccd071a8a7e|24b8e8ec2ee6d520dd74aa692fb9ba699151093c050e6e8c1996d0a0d6a89229
inv|14a603890accf93aa6f49621588982d727e22d4f297b1a375124c62114a49fd3|-|163eb133508da79f3fe71d525d8b9c0007c91cef4f8c8fbd744ac6cff9c852fc
