# op|a_be_hex|b_be_hex|expected_be_hex
add|0000000000000000000000000000000000000000000000000000000000000000|0000000000000000000000000000000000000000000000000000000000000001|0000000000000000000000000000000000000000000000000000000000000001
sub|0000000000000000000000000000000000000000000000000000000000000000|0000000000000000000000000000000000000000000000000000000000000001|30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000000
mul|0000000000000000000000000000000000000000000000000000000000000000|0000000000000000000000000000000000000000000000000000000000000001|0000000000000000000000000000000000000000000000000000000000000000
add|0000000000000000000000000000000000000000000000000000000000000001|0000000000000000000000000000000000000000000000000000000000000002|0000000000000000000000000000000000000000000000000000000000000003
sub|0000000000000000000000000000000000000000000000000000000000000001|0000000000000000000000000000000000000000000000000000000000000002|30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000000
mul|0000000000000000000000000000000000000000000000000000000000000001|0000000000000000000000000000000000000000000000000000000000000002|0000000000000000000000000000000000000000000000000000000000000002
inv|0000000000000000000000000000000000000000000000000000000000000001|-|0000000000000000000000000000000000000000000000000000000000000001
add|0000000000000000000000000000000000000000000000000000000000000007|0000000000000000000000000000000000000000000000000000000000000003|000000000000000000000000000000000000000000000000000000000000000a
sub|0000000000000000000000000000000000000000000000000000000000000007|0000000000000000000000000000000000000000000000000000000000000003|0000000000000000000000000000000000000000000000000000000000000004
mul|0000000000000000000000000000000000000000000000000000000000000007|0000000000000000000000000000000000000000000000000000000000000003|0000000000000000000000000000000000000000000000000000000000000015
inv|0000000000000000000000000000000000000000000000000000000000000007|-|06e9c21069503b73ac9dc0d0edede80d4ee2d80a5a8834a709b290cbfdb6db6e
add|02ce7e96d4aee2b1ff23953cddb8a6a2062c9c05c34d4ab4e650849099739d48|28d86dd716982b8c35716d854642ed22cb50703723ad1e47c7b4585a1149410b|2ba6ec6deb470e3e349502c223fb93c4d17d0c3ce6fa68fcae04dceaaabcde53
sub|02ce7e96d4aee2b1ff23953cddb8a6a2062c9c05c34d4ab4e650849099739d48|28d86dd716982b8c35716d854642ed22cb50703723ad1e47c7b4585a1149410b|0a5a5f329f48574f82026d6e18f711dc6310141719599cfe627e21ca782a5c3e
mul|02ce7e96d4aee2b1ff23953cddb8a6a2062c9c05c34d4ab4e650849099739d48|28d86dd716982b8c35716d854642ed22cb50703723ad1e47c7b4585a1149410b|1f5f249524a2ff26ca5cadf475dc436653e57cddce6f126ec8262bc80bbc4565
inv|02ce7e96d4aee2b1ff23953cddb8a6a2062c9c05c34d4ab4e650849099739d48|-|305e01ff947f311bdc1cb3277091f69f673280d4996259b0cab06c124cc30f01
add|05126b2ed4c79ed28a2f8c1ca24a6f999eae3805da6b9913456b6288191f62a0|0d0aae7b514e3bb1d516e73991da3555a08fdd695fa4c68073f3ff4020de73c1|121d19aa2615da845f4673563424a4ef3f3e156f3a105f93b95f61c839fdd661
sub|05126b2ed4c79ed28a2f8c1ca24a6f999eae3805da6b9913456b6288191f62a0|0d0aae7b514e3bb1d516e73991da3555a08fdd695fa4c68073f3ff4020de73c1|286c0b2664ab034a6d68ea9991f192a1265242e4f4804324155958dbe840eee0
mul|05126b2ed4c79ed28a2f8c1ca24a6f999eae3805da6b9913456b6288191f62a0|0d0aae7b514e3bb1d516e73991da3555a08fdd695fa4c68073f3ff4020de73c1|2de13436cb5a1002f1d5487469a2d7f548c774844c5850bf5e69408219c23160
inv|05126b2ed4c79ed28a2f8c1ca24a6f999eae3805da6b9913456b6288191f62a0|-|2f73ff7b49bf9e466f872d44b6dfba3272ca75d450a469bb96062e1e1ba7beb1
add|13ec3fad92e59e858eedfe3fbc787e601042ff826565a4faecd1ff9a0afd2eb6|1475ffe9330622777aec3e2b8a11988fdb14432c50b0fe30cdd1c71daca0b53e|28623f96c5ebc0fd09da3c6b468a16efeb5742aeb616a32bbaa3c6b7b79de3f4
sub|13ec3fad92e59e858eedfe3fbc787e601042ff826565a4faecd1ff9a0afd2eb6|1475ffe9330622777aec3e2b8a11988fdb14432c50b0fe30cdd1c71daca0b53e|2fda8e3741111c37cc5205cab3e83e2d5d62a49e8e6e175b62e22e104e5c7979
mul|13ec3fad92e59e858eedfe3fbc787e601042ff826565a4faecd1ff9a0afd2eb6|1475ffe9330622777aec3e2b8a11988fdb14432c50b0fe30cdd1c71daca0b53e|182127f9554cbad72100982b0e06b6bdc0d7645d96555b70a4ec61ec43b76eb8
inv|13ec3fad92e59e858eedfe3fbc787e601042ff826565a4faecd1ff9a0afd2eb6|-|1bd0e6820b30be9f81d20e40d0d77237444acaf19c6478ca55ada62ba90feaa7
