# op|arg1_be_hex|arg2_be_hex|expected_infinity|expected_x_c0_le|expected_x_c1_le|expected_y_c0_le|expected_y_c1_le
scalar_mul|0000000000000000000000000000000000000000000000000000000000000000|-|1||||
scalar_mul|0000000000000000000000000000000000000000000000000000000000000001|-|0|edf692d95cbdde46ddda5ef7d422436779445c5e66006a42761e1f12efde0018|c212f3aeb785e49712e7a9353349aaf1255dfb31b7bf60723a480d9293938e19|aa7dfa6601cce64c7bd3430c69e7d1e38f40cb8d8071ab4aeb6d8cdba55ec812|5b9722d1dcdaac55f38eb37033314bbc95330c69ad999eec75f05f58d0890609
scalar_mul|0000000000000000000000000000000000000000000000000000000000000002|-|0|b9b3b4620913f849ee2aa6a9cfd35c9d146f3e7c27596cc3e8d311fd3472dc27|79ad28398ced57998435d8c63164b86d7033733ab82101b6379bf1b45d203e20|2e5d2b12ad6d2a6e46c0b1e64f9ba5440983c4422737bca0925f7e97b853bb04|52e19d50f085e198d448df4e6b5605359d573139158c2b72637482b7a58a5e19
scalar_mul|0000000000000000000000000000000000000000000000000000000000000003|-|0|f5c7fb9406fade12005e9ab08c477e8d5e7192e12628e551900eb14d784e0606|856eb6ff324f82c9a7a078686b1504bcebe4cf5dcd9151734297bb572f771410|97556c66576d036597e72145d720b969a0682c8d9c0f4b07e0b9b581561d8e05|b2117714caea2a454154b549ac5394dd23338df3c2fc2f92b74b35f335231e02
scalar_mul|000000000000000000000000000000000000000000000000000000000000002a|-|0|e7e6af991b936dd662caae0472ba13801c5f3aa3ad44863d0f090d9ac8a86d11|919a5606733a9e0630a5e2d0b1670de93ce8cc6fb0496a7bb71596ba34097412|72c1c48de52409d357618aac72fcbe14cf59f05162b5449630b6772e04416407|db41a40b7cd0c6a84e832bd28bc179c9c5ac040dd0ed7d4a6bf8e516982d2225
scalar_mul|000000000000000000000000000000000000000000000000deadbeef12345678|-|0|31ace44ca364f4992a358bf050ef2935900504384d82397d07aaf9960a3ed21a|b7f71a7b71fe0a729c3f9863629d8bf99f6775751ff9df0afc528c67329c5914|1c9bbc4304eb9e58e811f06cc35b685aa12401d2d3d9bbe53f15f9a46767221a|9b8382f13ee704be4e8300c680a43117c9c983de0d3b4f53a067aeb8d1db6004
scalar_mul|12642c234a2832bc1e466fd41b6e68e9a74b1cf50c3c2532f57d1b41135bff8e|-|0|d4365d8ba1ed23445a0e82a3c4d6f806fbd37f156b28df80fb0075b6d0b90a2c|6ebfebd591f8901b93faf518a43e4df2273e39974136a3e4b0e50092587c412b|abc06ba1ecc9c4b9ea171913538be2e346bc460c4a4836178905522d53ab6f1c|a466885c8df4607bc8bb6f5993c25d2312d1c3915777b3ed0745097ac1a39817
scalar_mul|24b822660f774d469fb39393ed701b8a7b10a241878da51336a6df2803ea0fc6|-|0|1f4ab84c09edc218f8fb10ac60ead025e4083c916be4fbc9be0deb6377305205|36ef4e6ccb32eb11c14b62122e09ce44f58a4306f51ee6fac42ea52049883c0a|205d2a51872fbc18e95e65ed859b3d5da68bc74a3e72ec36421ee554041f9b05|f1955a06faf56b2d8c5a65a31d4061e21d1404ce3d88b087039d87075a42291a
scalar_mul|1a4e9bef842ed025cdf0d873bd15c251ca61a792db0f451e4c01ab1b30dd460a|-|0|efa676ad1a73c58ae22b5a321c7866e17906a33b2ff0fe236173267611021414|9b4f28ceea35fe9e87c6bf05ba8c2992b04c7a2481120534b756898ec4526f2b|ea419f2b0ccf19dd4b834fe3eb24bc8b59eecd1c1ea9129a61518e698e881700|4ff22fb055eb1e8733962d82a7e5379b5be9d313e06e4b3a185a46bff8682a06
add|0000000000000000000000000000000000000000000000000000000000000001|0000000000000000000000000000000000000000000000000000000000000001|0|b9b3b4620913f849ee2aa6a9cfd35c9d146f3e7c27596cc3e8d311fd3472dc27|79ad28398ced57998435d8c63164b86d7033733ab82101b6379bf1b45d203e20|2e5d2b12ad6d2a6e46c0b1e64f9ba5440983c4422737bca0925f7e97b853bb04|52e19d50f085e198d448df4e6b5605359d573139158c2b72637482b7a58a5e19
