# name|scalar_be_hex|expected_infinity|expected_x_le|expected_y_le
zero|0000000000000000000000000000000000000000000000000000000000000000|1||
one|0000000000000000000000000000000000000000000000000000000000000001|0|0100000000000000000000000000000000000000000000000000000000000000|0200000000000000000000000000000000000000000000000000000000000000
two|0000000000000000000000000000000000000000000000000000000000000002|0|d3cf876dc108c2d3a81c8716a91678d9851518685b04859b021a132ee7440603|c4a2185a7abf3effc78f53e349a4a6680a9caeb2965f84e7927c0a0e8c73ed15
small_42|000000000000000000000000000000000000000000000000000000000000002a|0|343f9b2f88177d5317c5e46d58775535fbf727aefd9a8f7cd71f97b65df38809|03b24c3b2cdb2cd50599f495aea8b46028d56d6e0a390770c6c8af3fa6ffba23
medium|000000000000000000000000000000000000000000000000deadbeef12345678|0|682f5ea7383ae04e80483382e36f9c64140be65660412b684c31e5c761c9c916|2c1955bdd1b88609d7794dde95de31dde662ecc0eb949a4de99f5c047b305b01
random_0|1d147721e8f60b45009109e680d0d5d5c723fb9c79adc76dc6ae5c216db95521|0|c8b206be7c0d8524a73a0202fb5fdb05da66d65966ef54060f9f2a05443bb104|639190b6f455628014d02ec6a3fa16501634e519b83a1d4c762876a16ffc0f2f
random_1|279a1640c54a35fed39e6e9822a1671aae14ec8fab53a6cfdaa6e976e9267e40|0|5cc78fd4268ae35ff475446c563d4088434e21f74e25d7d398c6cd179714ce17|30acc9e8af7274799c744b96fccb1bd4e5cf31d13ecf46915e36ea459fabd82e
random_2|0c67fab0b8d427e7ac2d47859d8dfeea956f41f2f622ea509e39f1898d909c2d|0|0adf00494728e01994f492d0ad942d64c4f6f831b6f489a386c8a24fedae5c1a|557044be98c91acd73d77f6c90d57b4f9a3c605b86e1e7978f6af01557dadc27
random_3|1efba8eabb15580c6e0e440965a9870477f607ab8918f217fe75b7980e70129e|0|fb6403bbbbee9780b8665726cd5f1b3f187774e586c57ff7f0786f24ba49492e|3f00d98222cd47abc4d6e0acab54b7ce15d30f7b97326a78596c9d5894d85202
random_4|0eb059d41da72313c6dbd2bf01b3a68ffe93ea4ab1fb93352e3c055c8643b33f|0|cc88e464475a1041b8e4b08d6ac68331bbf8417d567d06bc7816560a11b3650e|902155d8c7e8f07c52ba0900957deefa75db36c68ee36a0541d5e63292743e20
