# name|init_label|ops_desc|expected_state_hex|expected_rounds
init_basic|init_test|-|40f6e61cb828bcfbd5143a3df302021d6ab7f85dad9d083b274537ba1e7391cd|0
init_empty||-|89eb0d6a8a691dae2cd15ed0369931ce0a949ecafa5c3f93f8121833646e15c3|0
label_data|pub_test|append_label:data|8902d97269e4936d2e9e2cadd9b614ec812147e851a45c6bc06baa70683bcdeb|1
label_hello|zolt_test|append_label:hello|3a2586879f2c7b911e0f006e6c3cc9ee03507c28b818138283508b192d43168c|1
u64_999|pub_test|append_u64:count:999|04a7ea28820e22af92cf2f1b541f7b0e7c19694845fc8ac9e61feaac599e44eb|2
u64_zero|pub_test|append_u64:size:0|8662f454e0f86b29483649ec9c1c80a0bb1e0c6ced13fe19a5c9747cca15e6ae|2
scalar_7|pub_test|append_scalar:val:7|6bce2e0c05730ec8a53a55eb7debc95c724b2901dbfcb3751d3e4d4073808d53|2
scalar_42|scalar_test|append_scalar:x:42|d4d30d42d0420bb6f03b5a2216b03b5b875646dcb42498dbcafed1007055a565|2
scalar_zero|scalar_test|append_scalar:x:0|72de3108775c0d2f832785d10a4aae8e9fa1009509e45af863221470aa54ee6d|2
multi_pub_3ops|sequence|append_label:step1;append_scalar:x:100;append_u64:n:42|f41a215806d7728873643b96e4b5b3e5aeb41dc66e9f3300734723d6b15e4307|5
multi_labels_scalar|multi|append_label:round1;append_label:round2;append_scalar:r:999|442913f49360528ddee438c5debab02b86458fd7ed2cf5d389b867ab5ccd858e|4
